text_id;model;prompt_id;rater_id;coherence;style;surprise;bot_or_not
40;humano;4;1;4;4;5;0
40;humano;4;2;2;5;2;1
41;GPT-5 mini;5;3;5;5;4;0
41;GPT-5 mini;5;4;5;4;4;0
42;GPT-5 mini;5;5;5;5;4;0
42;GPT-5 mini;5;6;5;5;5;0
43;DeepSeek-V3;5;7;5;3;4;1
43;DeepSeek-V3;5;8;5;5;5;0
44;DeepSeek-V3;5;9;4;4;4;1
44;DeepSeek-V3;5;10;1;2;1;0
45;Grok 4;5;11;5;4;3;0
45;Grok 4;5;12;4;2;4;1
46;Grok 4;5;13;5;5;5;0
46;Grok 4;5;14;4;2;5;1
47;flax-community/gpt-2-spanisH;5;15;3;3;2;1
47;flax-community/gpt-2-spanisH;5;16;2;3;2;0
48;flax-community/gpt-2-spanisH;5;17;1;3;2;1
48;flax-community/gpt-2-spanisH;5;18;2;4;3;1
49;humano;5;19;5;3;4;1
49;humano;5;20;4;5;4;1
50;humano;5;21;4;5;4;1
50;humano;5;22;4;4;2;0
51;GPT-5 mini;6;23;4;2;5;1
51;GPT-5 mini;6;24;4;5;4;1
52;GPT-5 mini;6;25;2;3;2;0
52;GPT-5 mini;6;26;3;3;3;1
53;DeepSeek-V3;6;1;4;4;5;0
53;DeepSeek-V3;6;2;4;4;4;0
54;DeepSeek-V3;6;3;5;5;5;1
54;DeepSeek-V3;6;4;4;5;4;1
55;Grok 4;6;5;5;3;3;1
55;Grok 4;6;6;5;4;4;0
56;Grok 4;6;7;3;3;3;1
56;Grok 4;6;8;4;3;3;1
57;flax-community/gpt-2-spanisH;6;9;3;3;2;0
57;flax-community/gpt-2-spanisH;6;10;2;3;2;1
58;flax-community/gpt-2-spanisH;6;11;1;3;2;1
58;flax-community/gpt-2-spanisH;6;12;2;4;3;1
59;humano;6;13;5;5;5;0
59;humano;6;14;4;3;5;0
60;humano;6;15;5;5;5;0
60;humano;6;16;5;4;4;0
61;GPT-5 mini;7;17;4;1;3;0
61;GPT-5 mini;7;18;4;4;4;1
62;GPT-5 mini;7;19;5;3;5;0
62;GPT-5 mini;7;20;5;5;4;1
63;DeepSeek-V3;7;21;4;4;3;0
63;DeepSeek-V3;7;22;4;3;3;0
64;DeepSeek-V3;7;23;4;4;3;0
64;DeepSeek-V3;7;24;4;4;4;1
65;Grok 4;7;25;5;5;4;1
65;Grok 4;7;26;5;4;5;0
66;Grok 4;7;1;4;5;5;0
66;Grok 4;7;2;2;4;4;1
67;flax-community/gpt-2-spanisH;7;3;3;3;2;1
67;flax-community/gpt-2-spanisH;7;4;2;3;2;1
68;flax-community/gpt-2-spanisH;7;5;1;3;2;1
68;flax-community/gpt-2-spanisH;7;6;2;4;3;1
69;humano;7;7;5;5;3;1
69;humano;7;8;4;3;1;1
70;humano;7;9;5;5;5;0
70;humano;7;10;1;1;5;0
71;GPT-5 mini;8;11;3;3;2;0
71;GPT-5 mini;8;12;4;2;4;1
72;GPT-5 mini;8;13;5;5;5;0
72;GPT-5 mini;8;14;4;3;4;0
73;DeepSeek-V3;8;15;5;5;5;0
73;DeepSeek-V3;8;16;3;3;3;1
74;DeepSeek-V3;8;17;4;3;3;0
74;DeepSeek-V3;8;18;3;3;3;1
75;Grok 4;8;19;3;4;3;1
75;Grok 4;8;20;5;4;4;1
76;Grok 4;8;21;3;4;4;1
76;Grok 4;8;22;4;4;4;1
77;flax-community/gpt-2-spanisH;8;23;3;1;2;0
77;flax-community/gpt-2-spanisH;8;24;2;3;2;1
78;flax-community/gpt-2-spanisH;8;25;1;3;2;1
78;flax-community/gpt-2-spanisH;8;26;2;4;3;1
79;humano;8;1;5;5;3;0
79;humano;8;2;5;5;4;0
80;humano;8;3;5;4;5;0
80;humano;8;4;5;4;4;0
